article_id,title,url,relevance_score,score_a_1500,score_b_4000,category,content_chars,b_higher_than_a,error_a,error_b
7669664332065653302,兵团：民生提质，筑牢幸福根基,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU3NTMyXzE4NjMzMl8xNzg1NzIyNTU1,30.0,10,15,external_positive,2469,True,,
7668855158138225187,520余名应届毕业生志愿者奔赴乡村振兴一线,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU2MjE0XzE4NjMzMF8xNzg1NTQwNDY5,30.0,20,15,external_positive,247,False,,
chinanews:/gn/2026/07-24/10666009,中国科学家探索用微生物技术激发黑土地“自我修复力”,https://www.chinanews.com.cn/gn/2026/07-24/10666009.shtml,20.0,0,0,external_positive,1052,False,,
tencent:20260802A0B2NR00,鄂尔多斯市康巴什区：2026架无人机编队表演致敬最可爱的人,https://view.inews.qq.com/a/20260802A0B2NR00,35.0,0,0,internal_positive,2103,False,,
7667092343492952595,读懂世界遗产的“人文经济密码”,https://m.gmw.cn/toutiao/2026-07/27/content_1304538656.htm,20.0,5,0,internal_positive,1369,False,,
7668224049423680019,“团结路上一家人”创作交流活动在中传举行,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzcxMDY0XzEwMDZfMTc4NTM5MjU1OA==,30.0,50,45,internal_positive,669,False,,
7668100519819854378,动起来，让生活更精彩（四海听音）,http://t.ynet.cn/h5/38496210.html,20.0,10,45,external_positive,802,True,,
7671164184486298127,全国小篮球总决赛首次落地北京近2300名篮球少年延庆逐梦,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYyMDAxXzgyODM4XzE3ODYwODAxNDQ=,30.0,55,65,internal_positive,938,True,,
tencent:20260731A0CL0O00,8月起，这些新规将影响你我生活！,https://view.inews.qq.com/a/20260731A0CL0O00,20.0,5,10,internal_positive,1008,True,,
7669975874808152591,2026“一路繁花”中马国际文化艺术展演在吉隆坡举行,https://m.gmw.cn/toutiao/2026-08/04/content_38925609.htm,20.0,15,10,internal_positive,566,False,,
7666638760343355944,为破解全球人工智能治理难题贡献中国方案（国际论坛）,http://m2.people.cn/news/toutiao.html?s=NF80XzMwMTcwOTg4Xzg4ODg4OF8xNzg1MDA2MDQ0,30.0,15,0,external_positive,1345,False,,
tencent:20260729A06ASM00,中国之声《国防时空》（2026年7月29日）,https://view.inews.qq.com/a/20260729A06ASM00,35.0,5,0,external_positive,321,False,,
chinanews:/sh/2026/07-29/10668703,从“猫冬”到“热雪”：十年实践见证黑龙江冰雪经济振兴之路,https://www.chinanews.com.cn/sh/2026/07-29/10668703.shtml,20.0,0,0,internal_positive,1389,False,,
7669734323217498678,这群“最可爱的人”挽臂献血致敬荣光岁月,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU3ODM2XzE5MjIzN18xNzg1NzQyMDg0,20.0,0,10,external_positive,1367,True,,
7667721237602386447,藤森庆子宣誓就任秘鲁总统,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzY5ODM0XzEwMDJfMTc4NTI3OTQ0OQ==,20.0,0,0,internal_positive,337,False,,
7667752460106105394,外交部回应强闯中国使馆的村田晃大被起诉,http://m2.people.cn/news/toutiao.html?s=NF80XzMwMTcxODI5Xzg4ODg4OF8xNzg1MjY3MTQ1,20.0,0,0,internal_positive,484,False,,
7669961473266958899,歌剧《伤逝》：以青春力量致敬经典,http://t.ynet.cn/h5/38521206.html,30.0,10,0,internal_positive,732,False,,
7668234609934533158,收到税务合规提示怎么办？平台内经营者自查整改指南,https://m.gmw.cn/toutiao/2026-07/30/content_38918271.htm,30.0,0,5,external_positive,1890,True,,
tencent:20260803A06ZE500,暑期消费场景延伸 “水上漫游纪”活动落地广州,https://view.inews.qq.com/a/20260803A06ZE500,20.0,15,0,external_positive,430,False,,
tencent:20260805A0AV1D00,科技赋能传承创新 迪庆做强中藏医药高原特色产业,https://view.inews.qq.com/a/20260805A0AV1D00,20.0,0,0,internal_positive,2003,False,,
7669677667154657830,王晗评《慢媒介》｜人类省下来的时间，都去了哪里？,https://m.thepaper.cn/newsDetail_forward_33695610?from=toutiao,30.0,10,10,external_positive,7203,False,,
chinanews:/sh/2026/07-28/10667947,“冰雪经济研究学术研讨会”举办 发挥智库优势服务地方经济社会发展,https://www.chinanews.com.cn/sh/2026/07-28/10667947.shtml,20.0,5,15,internal_positive,569,True,,
7671209951309644329,让国球惠及更广泛人群，湖南省乒乓球协会获评“4A级”社会组织,http://api.chenshipin.com/wap/a/6a7599fb84201763690698c0/90f456b81afce808c1fcfbd3f5761f65/1786092663/bd76973359bd5db8137a0b1306b46f4fb0b8503fed6ee4df457bca62c3bd91ce,30.0,15,0,external_positive,650,False,,
7668640731694629417,张玉台同志逝世,http://my-h5news.app.xinhuanet.com/h5/article.html?articleId=202607316e9c5e26b61f4302b65bad1432687001,20.0,0,0,internal_positive,523,False,,
7667578819801072180,在电影院“出警”，谁该为安静负责？,http://www.infzm.com/content/327180,20.0,0,0,internal_positive,4806,False,,
7669674417416339974,临清两惯偷盗窃老人 1700 元，警方连续奋战两日将其抓获,https://m.gmw.cn/toutiao/2026-08/03/content_1304542212.htm,30.0,5,15,external_positive,440,True,,
7668612965642207798,医生提醒：冰箱里这个“隐形杀手”比你想象的更可怕！看完赶紧转给爸妈,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a6c6199d5de97bd74806956.html,20.0,0,0,internal_positive,1840,False,,
chinanews:/sh/2026/08-03/10671388,AI数字人带岗百余天 吉林市发布岗位3.2万个次,https://www.chinanews.com.cn/sh/2026/08-03/10671388.shtml,20.0,55,55,external_positive,670,False,,
tencent:20260801A07Z0G00,第十五届中国创新创业大赛安徽赛区合肥市赛决赛收官,https://view.inews.qq.com/a/20260801A07Z0G00,20.0,10,10,external_positive,659,False,,
7668621252459332148,大江东丨在中国人不曾到达的领域，他们把“不可能”变成现实,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU1OTU0XzEzNDc2OF8xNzg1NDg2NTI1,20.0,20,10,external_positive,4036,False,,
tencent:20260727A0447B00,专访｜“上海精神”为成员国凝心聚力提供核心指引——访乌兹别克斯坦上海合作组织民间外交中心主任萨比罗夫,https://view.inews.qq.com/a/20260727A0447B00,20.0,0,0,internal_positive,694,False,,
7666636682325705216,回望传统 赓续文脉——论京派画坛名家陈半丁,https://news.bjd.com.cn/2026/07/26/11886112.shtml,30.0,20,5,internal_positive,1995,False,,
tencent:20260805A00ILS00,四川真金白银支持八大领域场景建设 单个项目最高不超过3000万元,https://view.inews.qq.com/a/20260805A00ILS00,30.0,45,90,external_positive,1111,True,,
7669241681505436200,兰州理工大学召开2026年科技大会,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU2ODE3XzE4MzI4M18xNzg1NjMwNjE5,30.0,55,50,external_positive,479,False,,
7669945449117188617,百花奖展映活动覆盖京城15家影院,http://t.ynet.cn/h5/38520906.html,30.0,0,30,internal_positive,2374,True,,
7668901029861130752,​查改结合 帮教同步 27名专家赴石家庄市无极县指导帮扶安全生产工作,http://t.ynet.cn/h5/38507887.html,20.0,0,0,external_positive,369,False,,
7670008598483550772,河北经贸大学：科技特派团为企业送上“财经智囊”,http://www.jyb.cn/rmtzcg/xwy/wzxw/202608/t20260804_2111507428.html,20.0,0,0,internal_positive,830,False,,
7667187660188713481,【“十五五”开好局起好步】推动残疾人事业全面发展高质量发展,https://m.gmw.cn/toutiao/2026-07/27/content_1304538937.htm,25.0,50,40,external_positive,352,False,,
7669973525553283636,临川才子闯荡好莱坞片场,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU4Mzk1XzE4NjMzMF8xNzg1ODA0MDkz,20.0,10,5,external_positive,1464,False,,
7666370373298012710,备战卡塔尔U17男足世界杯，中国U17男足新一期集训名单出炉，保留了参加今年U17男足亚洲杯的14名球员，邝兆镭、赵松源等在列,http://api.chenshipin.com/wap/a/6a64699e8420170224144db2/90f456b81afce808c1fcfbd3f5761f65/1784965806/38c531d0e4aa601472b105500e9a411b17ecc8e036ada288548a4924d140ac38,30.0,10,10,internal_positive,665,False,,
7666876282164101683,上海交通大学医学院：成立专项工作组，对事件全面调查,https://news.bjd.com.cn/2026/07/27/11887019.shtml,30.0,85,20,external_positive,289,False,,
7666695437889339946,国家发改委紧急安排1亿元支持广东台风灾害灾后应急恢复,https://m.thepaper.cn/newsDetail_forward_33661598?from=toutiao,30.0,10,0,external_positive,296,False,,
gmw:2026-07/29/content_38913729,北京启动中轴线申遗成功两周年宣传展示活动,https://news.gmw.cn/2026-07/29/content_38913729.htm,35.0,25,25,internal_positive,690,False,,
7669618902472622633,全油气系统理论提升勘探效益,http://t.ynet.cn/h5/38516670.html,20.0,65,65,internal_positive,648,False,,
tencent:20260804A0AY1Q00,一份《夜游指南》整合八大场景 重塑“浙”里新“夜”态,https://view.inews.qq.com/a/20260804A0AY1Q00,20.0,5,5,external_positive,1949,False,,
tencent:20260804A04LAC00,提前通车！保障长春师大北湖新校区顺利开学,https://view.inews.qq.com/a/20260804A04LAC00,30.0,0,0,external_positive,733,False,,
tencent:20260804A0AN9Z00,《台湾名嘴大陆行》 第五集 科创未来,https://view.inews.qq.com/a/20260804A0AN9Z00,20.0,10,0,external_positive,130,False,,
chinanews:/sh/2026/07-30/10668952,AI剧集频登电视“大屏”，释放什么信号,https://www.chinanews.com.cn/sh/2026/07-30/10668952.shtml,20.0,10,15,internal_positive,1439,True,,
7670723728363225663,高校毕业生医保衔接指南来了,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYwMzkwXzE4NjMzMF8xNzg1OTc2NjA1,30.0,10,45,external_positive,1515,True,,
tencent:20260806A06FA200,以文化人润警心 凝心聚力铸忠诚——兵团第十二师公安局深入实施公安文化精品工程纪实,https://view.inews.qq.com/a/20260806A06FA200,30.0,15,10,external_positive,1590,False,,
tencent:20260727A08W4V00,云南勐腊：受伤仓鸮痊愈 成功放归自然,https://view.inews.qq.com/a/20260727A08W4V00,30.0,5,0,external_positive,829,False,,
7666982617002033727,总书记以“三个有利于”指引世界遗产申报保护,http://cn.chinadiplomacy.org.cn/2026-07/27/content_118618748.shtml,30.0,10,0,internal_positive,1329,False,,
7669399085761282600,“哈利·波特”系列今年将出多种新书,https://wap.cyol.com/commonDetail/1432854,20.0,5,0,external_positive,572,False,,
7670120967728792074,济南一老人被骗120余万元，警方：犯罪嫌疑人贺某已被采取刑事强制措施,https://m.gmw.cn/toutiao/2026-08/04/content_1304543070.htm,20.0,10,10,external_positive,1184,False,,
7667489811946684962,擅自使用“中国”“全国”等字样一批非法社会组织被取缔,http://api.chenshipin.com/wap/a/6a6864df84201750c75747fe/90f456b81afce808c1fcfbd3f5761f65/1785226469/e7cf7cfeac1a7061e0fd8e211152851b110b4b6730f77b40c76af7603ae988b7,20.0,20,30,external_positive,325,True,,
7671073824896549386,力争到2030年全省人均预期寿命达82岁,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYxMzUxXzIzMTE5MF8xNzg2MDU5OTE3,30.0,0,5,external_positive,1051,True,,
7666966350815838763,糍粑越打越黏，日子越过越甜（全国“两优一先”风采）,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzY4MjI3XzQ2MTAwMV8xNzg1MTAzMzY4,20.0,0,0,internal_positive,1521,False,,
7669574123177230891,江苏2个项目入选文旅部重点实验室资助项目立项名单,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU3MDczXzM2MDMwM18xNzg1NzEwMDk3,20.0,10,10,external_positive,430,False,,
7668494196847854080,在科技事业最前沿，他们何以“最美”？,https://m.gmw.cn/toutiao/2026-07/31/content_1304540715.htm,20.0,5,0,internal_positive,3343,False,,
tencent:20260806A0AJLX00,当诈骗老套路撞上AI新技术,https://view.inews.qq.com/a/20260806A0AJLX00,20.0,30,42,external_positive,996,True,,
7669992814037500457,山西省吕梁市孝义市发布暴雨蓝色预警信号,http://t.ynet.cn/h5/38522365.html,20.0,0,5,external_positive,313,True,,
tencent:20260725A0642600,2400个仰卧卷腹，4小时不间断，王亚璇破纪录！,https://view.inews.qq.com/a/20260725A0642600,20.0,0,0,external_positive,523,False,,
7669594663279444531,为烈士寻亲|找了80年的烈士墓终于找到了,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a6fdf53e4b03fa51a8266b4.html,20.0,20,5,internal_positive,2231,False,,
7667463435256431145,新唐山建设五十年：河头老街“高适”等你挑战唐诗,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a6848bde4b0e45f3fd54dcf.html,30.0,0,0,internal_positive,749,False,,
7668617853490299430,男子学“炼金术”被行拘 个人“炼金”为何违法且危险？,https://m.gmw.cn/toutiao/2026-07/31/content_38920911.htm,30.0,0,0,internal_positive,2807,False,,
7668524519052689935,新功能上线！铁路12306新增2026级新生专属功能,https://news.bjd.com.cn/2026/07/31/11894179.shtml,30.0,10,0,external_positive,601,False,,
7668733965490881062,周海峰：永远跟党走，做一名合格的共产党员,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a6cd060e4b0e45f3fd5780c.html,20.0,25,25,internal_positive,1037,False,,
chinanews:/ydyl/2026/08-04/10672053,闽澳高层会晤暨闽澳合作会议第五次会议在福州举行,https://www.chinanews.com.cn/ydyl/2026/08-04/10672053.shtml,25.0,0,0,internal_positive,646,False,,
7671112330087891482,怀柔这两条河禁止垂钓、戏水！违规将被依法处罚,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a754324e4b03fa51a829a0b.html,30.0,5,0,internal_positive,775,False,,
7668581827539518002,强军先锋|走近国防科技大学计算机学院研究员王戟(上),https://m.gmw.cn/toutiao/2026-07/31/content_38920717.htm,20.0,20,5,internal_positive,6421,False,,
7666595191951721003,千年窑火 辉映世界,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzY3OTEzXzEwMTJfMTc4NTAxNzAyNA==,20.0,20,28,external_positive,3917,True,,
7667230413563183635,卡斯滕·霍勒中国首个机构个展落地798UCCA，邀观众沉浸式玩艺术,http://t.ynet.cn/h5/38485017.html,35.0,0,5,internal_positive,1586,True,,
7668681338307740187,退役军人事务部：将更加聚焦基层队伍的专业化、职业化建设,http://t.ynet.cn/h5/38506957.html,20.0,0,0,internal_positive,857,False,,
7667847883986633231,坚持不忘初心、牢记使命团结引领广大云岭青年跑好新征程上的历史接力赛,https://wap.cyol.com/commonDetail/1428973,20.0,15,15,external_positive,1373,False,,
tencent:20260724A0BYCP00,贵州省第十二届运动会摔跤比赛在惠水开赛,https://view.inews.qq.com/a/20260724A0BYCP00,30.0,10,10,external_positive,305,False,,
7670386796588565038,笔试第一考生称遭“老师”传话：“重新选择其他地方报考，给你几万块”，笔试第二名被公示拟聘用，广东湛江教育局启动调查,http://feed.huiwen.co/rssv2/toutiaohao_article_jpjiaoyu_718a2d0a9d9746608fbf9a0be1b13543/item/IL2DRF9VYPH8HW3.html,20.0,55,55,external_positive,841,False,,
tencent:20260731A0C6QS00,《老单走东城·城市焕新季》开机,https://view.inews.qq.com/a/20260731A0C6QS00,30.0,0,5,internal_positive,877,True,,
tencent:20260806A02STC00,大关：良田种出好药材,https://view.inews.qq.com/a/20260806A02STC00,20.0,0,0,external_positive,640,False,,
7667484893823402515,山西大学在无监督学习领域取得重要进展,http://m.edu.k618.cn/gaoxiao/202607/t20260728_20053057.html,25.0,5,10,external_positive,1082,True,,
7667027888739009064,打着农产品幌子 有毒“养生神药”竟被肆意网售,https://m.gmw.cn/toutiao/2026-07/27/content_38909190.htm,20.0,0,0,internal_positive,2855,False,,
7667928147199853108,专访丨塔吉克斯坦专家：中国是上合发展重要推动力量,http://my-h5news.app.xinhuanet.com/h5/article.html?articleId=202607299e332cf299724d9c8f80f2619876ac27,20.0,0,0,external_positive,868,False,,
7667103038649188905,内蒙古霍林郭勒市：这五年，我们把幸福写进百姓烟火里,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUxMjY4XzQwNTAxMF8xNzg1MTM1NjMw,25.0,0,0,internal_positive,1400,False,,
7670171710674551337,一场机器人运动会，检验具身智能“真功夫”,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a71eb6be4b03fa51a827dc1.html,20.0,30,39,internal_positive,1177,True,,
chinanews:/dwq/2026/08-07/10673487,镜头绘丝路 影像传新章——专访“普利策现场新闻摄影奖”获得者刘香成,https://www.chinanews.com.cn/dwq/2026/08-07/10673487.shtml,20.0,0,0,internal_positive,1402,False,,
7670046758898008628,抱冬瓜降温，结果半夜瓜炸了，专家提醒：千万别整夜怀抱，体温烘烤加剧发酵,https://m.gmw.cn/toutiao/2026-08/04/content_1304542805.htm,20.0,0,5,external_positive,1302,True,,
7668121005491880483,【文艺三评】“2026 暑期档新生态”：传统文化IP扎堆，神话改编如何挣脱“囚徒困境”,https://m.gmw.cn/toutiao/2026-07/30/content_38916130.htm,20.0,0,20,external_positive,1957,True,,
7670849980126593571,45．5亿元！湖北体彩亮出年度“公益成绩单”,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYxMjA2XzE5MjIzN18xNzg2MDA3NjQ0,30.0,0,0,internal_positive,996,False,,
qianlong:2026/0731/8705429,上半年北京财政收入3784.7亿元,https://beijing.qianlong.com/2026/0731/8705429.shtml,20.0,30,30,internal_positive,1293,False,,
7668510434416951850,织密乡村防汛网 绘就振兴新画卷 市安质监站驻村工作队多措并举筑牢防汛减灾防线,http://t.ynet.cn/h5/38502657.html,20.0,10,0,external_positive,788,False,,
7667041935500001792,成都体育学院运动医学与健康学院联合附属体育医院奥运医疗保障团专家义诊活动,http://m.edu.k618.cn/gaoxiao/202607/t20260727_20052858.html,30.0,10,20,external_positive,437,True,,
chinanews:/sh/2026/07-27/10667499,“春天的事业”托起稳稳的幸福 多举措为残疾人提供更加稳定、更有温度民生保障,https://www.chinanews.com.cn/sh/2026/07-27/10667499.shtml,20.0,50,60,external_positive,1269,True,,
7667080964480320035,科技赋能防灾减灾媒体行首站走进河北石家庄,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzY4NzI3XzEwMDRfMTc4NTExODg3Mg==,20.0,5,5,internal_positive,1900,False,,
chinanews:/cj/2026/07-28/10668049,上半年中国个税专项扣除减税金额超过3200亿元,https://www.chinanews.com.cn/cj/2026/07-28/10668049.shtml,20.0,5,0,internal_positive,859,False,,
7670849984916357678,金台圆桌：扩大优质供给培育壮大少儿健康服务新业态,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzc1MTk3XzQ0Nzk4MV8xNzg2MDA0ODE3,20.0,25,30,internal_positive,2667,True,,
gmw:2026-08/01/content_38921684,从“形神之辨”看“正始之音”,https://news.gmw.cn/2026-08/01/content_38921684.htm,20.0,0,0,internal_positive,3292,False,,
7669741912501076522,今年上半年安徽省人民币各项存款余额超10万亿，增速全国第3,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU4MDMwXzIyNzEzMV8xNzg1NzQ5MTg1,30.0,0,0,external_positive,2867,False,,
7668151388295250483,夜尿频繁的老年人，生活中如何调理？,https://m.gmw.cn/toutiao/2026-07/30/content_1304540275.htm,20.0,0,0,internal_positive,351,False,,
7668678341397873202,山西省临汾市乡宁县发布暴雨蓝色预警信号,http://t.ynet.cn/h5/38506836.html,20.0,0,10,external_positive,311,True,,
tencent:20260804A03OV700,未来之城的疏解故事丨从搬家到扎根 城与人共生长,https://view.inews.qq.com/a/20260804A03OV700,30.0,80,80,internal_positive,1600,False,,
7669986171523252778,打好政策“组合拳” 以优质消费环境激发消费潜力,https://m.gmw.cn/toutiao/2026-08/04/content_38925802.htm,20.0,0,5,internal_positive,1685,True,,
7668170196967850538,肿瘤手术切除不等于根治，专家解读为何可能复发转移,http://api.chenshipin.com/wap/a/6a6aca41842017255d26c22c/90f456b81afce808c1fcfbd3f5761f65/1785384910/99864de68bfceecf6af3f7d296023c0e4f37c10d5b18a43ba175b769abf5e108,30.0,0,0,external_positive,951,False,,
7666652675886383668,走路针扎般刺痛！初三男生忍了大半年，中考完直奔医院！暑假门诊爆满，医生说与这个穿鞋习惯有关,http://feed.huiwen.co/rssv2/toutiaohao_article_jpjiaoyu_718a2d0a9d9746608fbf9a0be1b13543/item/IL210CRQW658AJI.html,30.0,20,25,external_positive,1499,True,,
tencent:20260727A05LJ100,2025-26赛季克利伯环球帆船赛圆满收帆 青岛号获归航赛程冠军,https://view.inews.qq.com/a/20260727A05LJ100,20.0,0,0,external_positive,2013,False,,
7668208321215611392,舟山国家远洋渔业基地：党建“红”引领产业“蓝”绘就共富“金”,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzcwODk2XzQ2MTIxM18xNzg1Mzc0MTQ3,20.0,0,0,external_positive,2031,False,,
7667028155001012774,“人才服务月”更好托举青年未来,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzY4NzIzXzEwMDZfMTc4NTExODQyNw==,30.0,50,20,external_positive,778,False,,
tencent:20260731A09FXI00,赛场守门人：高薇薇与王玉洁的检票志愿纪实,https://view.inews.qq.com/a/20260731A09FXI00,20.0,0,0,internal_positive,1000,False,,
tencent:20260729A0BDMW00,第五届秦创原高价值专利大赛正式启动,https://view.inews.qq.com/a/20260729A0BDMW00,30.0,30,15,external_positive,831,False,,
7668486835705823759,夯实居民消费基础提升消费意愿能力,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU1MDUxXzM3ODQ0MF8xNzg1NDU1ODc4,20.0,0,0,internal_positive,1110,False,,
chinanews:/gn/2026/08-04/10671499,中央纪委国家监委通报2026年上半年对纪检监察干部监督检查审查调查情况,https://www.chinanews.com.cn/gn/2026/08-04/10671499.shtml,20.0,0,0,external_positive,455,False,,
7670197525223047723,湖南中医药大学原党委书记蔡光先辞世，曾积极推动学校更名大学,https://m.thepaper.cn/newsDetail_forward_33716871?from=toutiao,20.0,10,0,external_positive,130,False,,
7668774990531101203,科学养老应走出“静养”误区,https://m.gmw.cn/toutiao/2026-08/01/content_38921635.htm,20.0,0,0,external_positive,1326,False,,
7667798769081008680,鄂尔多斯准格尔经济开发区：优营商筑巢引智强科创赋能升级,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUzNDAzXzQwODEzMl8xNzg1Mjk3MDY4,20.0,14,0,external_positive,681,False,,
tencent:20260803A0AARM00,专家团走进大渡口 助力高端摩托车产业攀高向新,https://view.inews.qq.com/a/20260803A0AARM00,20.0,0,0,external_positive,3052,False,,
tencent:20260730A05Z1100,驻皖央企建海外光伏电站给动物留足自在天地 获全球推介,https://view.inews.qq.com/a/20260730A05Z1100,25.0,0,0,external_positive,1567,False,,
7667530709015298602,蓝红白青，彩色大闸蟹在上海崇明区竖新镇首秀,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUyNjgwXzE3NjczN18xNzg1MjM0OTkz,30.0,0,0,external_positive,529,False,,
7670454955715002918,于东来公布胖东来未来3年计划，2030年后将停止所有经营项目发展,https://m.gmw.cn/toutiao/2026-08/05/content_1304543590.htm,20.0,5,0,external_positive,672,False,,
qianlong:2026/0805/8707608,北京怀柔多个大科学装置开放课题申请,https://beijing.qianlong.com/2026/0805/8707608.shtml,30.0,10,25,internal_positive,868,True,,
7670476311546167834,永州零陵：织密“就业网”托起“乐业梦”,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYwMDI4XzM1Njg4N18xNzg1OTE4MDg2,30.0,0,0,internal_positive,1098,False,,
7669371103646695974,河中漂来一道人影，成都20余人沿河追逐，救回落水男子,https://m.gmw.cn/toutiao/2026-08/02/content_1304541880.htm,20.0,0,5,external_positive,1390,True,,
7669991583298699810,陕西推动创建生育友好单位,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU4NTYxXzE4NjMzMV8xNzg1ODA3MzYz,20.0,55,80,external_positive,978,True,,
7668678349829374464,山西省晋中市昔阳县发布暴雨蓝色预警信号,http://t.ynet.cn/h5/38506748.html,30.0,0,0,external_positive,309,False,,
7667477008645079587,座偏可正，人行须端,https://m.gmw.cn/toutiao/2026-07/28/content_38913001.htm,30.0,0,0,internal_positive,744,False,,
7667749710374896147,金华深化“公园＋”模式打造多元复合型城市绿地,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUyODg0XzE4NjMyN18xNzg1Mjg0ODcz,30.0,10,35,external_positive,460,True,,
7667476877698761268,外交部：日本找借口不及时严惩擅闯驻日使馆凶犯，中方对此强烈不满,https://m.thepaper.cn/newsDetail_forward_33672500?from=toutiao,30.0,0,0,external_positive,478,False,,
tencent:20260806A0EBLL00,拯救南非最危险街区：研究所抗病，拳馆救少年，中国创新也在场,https://view.inews.qq.com/a/20260806A0EBLL00,30.0,0,15,external_positive,2853,True,,
7671178018227798534,@四川高校新生，这份开学大礼包，请查收！,http://feed.huiwen.co/rssv2/toutiaohao_article_jpjiaoyu_718a2d0a9d9746608fbf9a0be1b13543/item/IL2DU8C5I3PPXQK.html,20.0,12,15,external_positive,1207,True,,
